Company,Address_Line_1,City,State,ZipCode,Zip4,County_Code,Area_Code,IDCode,Location_Employee_Size_Code,Location_Sales_Volume_Code,Primary_SIC_Code,SIC6_Descriptions,Primary_NAICS_Code,NAICS8_Descriptions,SIC_Code,SIC6_Descriptions_SIC,SIC_Code_1,SIC6_Descriptions_SIC1,SIC_Code_2,SIC6_Descriptions_SIC2,SIC_Code_3,SIC6_Descriptions_SIC3,SIC_Code_4,SIC6_Descriptions_SIC4,Yellow_Page_Code,Employee_Size_Location,Sales_Volume_Location,Business_Status_Code,Industry_Specific_First_Byte,Year_Established,Office_Size_Code,Company_Holding_Status,ABI,Subsidiary_Number,Parent_Number,Parent_Actual_Employee_Size,Parent_Actual_Sales_Volume,Parent_Employee_Size_Code,Parent_Sales_Volume_Code,Site_Number,Address_Type_Indicator,Population_Code,Census_Tract,Census_Block,Latitude,Longitude,Match_Code,CBSA_Code,CBSA_Level,CSA_Code,FIPS_Code,archive_version_year
ST AGATHA ST JAMES RECTORY,3728 CHESTNUT ST,PHILADELPHIA,PA,19104,3105,101,215,2,B,,866106,CLERGY,81311009,RELIGIOUS ORGANIZATIONS,866107,CHURCHES,,,,,,,,,,5,,9,,,,,406176129,,,,,,,,,9,008800,1,039.954840,-075.196990,P,37980,2,428,42101,2014
BLUEMERCURY,3603 WALNUT ST,PHILADELPHIA,PA,19104,3810,101,215,2,B,C,599992,COSMETICS & PERFUMES-RETAIL,44612001,"COSMETICS, BEAUTY SUPPLIES & PERFUME STORES",599973,PERFUME-RETAIL,,,,,,,,,,6,1333,2,,,,,406176286,,539865493,48,,D,,,,9,008900,3,039.953233,-075.194805,0,37980,2,428,42101,2014
PHOENIX II DRUG & ALCOHOL,4329 WESTMINSTER AVE,PHILADELPHIA,PA,19104,1307,101,215,2,C,,839901,DRUG ABUSE & ADDICTION INFO & TREATMENT,81331904,OTHER SOCIAL ADVOCACY ORGANIZATIONS,,,,,,,,,,,26504,10,,9,,,,,406176432,,,,,,,,,9,010700,7,039.969890,-075.211070,P,37980,2,428,42101,2014
PHILANY GROUP INC,3953 WYALUSING AVE,PHILADELPHIA,PA,19104,1125,101,215,2,A,A,792905,ENTERTAINMENT BUREAUS,71119007,OTHER PERFORMING ARTS COMPANIES,,,,,,,,,,,29642,4,453,9,,,,,406176490,,,,,,,,,9,011000,4,039.972490,-075.202830,P,37980,2,428,42101,2014
COCO JAZZ,3631 LANCASTER AVE,PHILADELPHIA,PA,19104,2603,101,215,2,A,A,723106,BEAUTY SALONS,81211202,BEAUTY SALONS,,,,,,,,,,,39629,4,192,9,,,,,406176595,,,,,,,,,9,009100,3,039.959190,-075.194410,P,37980,2,428,42101,2014
AVE LOCKSMITH,4124 PARKSIDE AVE,PHILADELPHIA,PA,19104,,101,267,2,A,A,769962,LOCKS & LOCKSMITHS,56162204,LOCKSMITHS,,,,,,,,,,,48408,2,284,9,,,,,406176862,,,,,,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
LOCKSMITH AZ,4030 MARKET ST,PHILADELPHIA,PA,19104,3003,101,267,2,A,A,769962,LOCKS & LOCKSMITHS,56162204,LOCKSMITHS,,,,,,,,,,,48505,2,284,9,,,,,406177414,,,,,,,,,9,008800,6,039.957040,-075.203140,P,37980,2,428,42101,2014
LOCKSMITH EMERGENCY,4035 PARRISH ST,PHILADELPHIA,PA,19104,4851,101,267,2,A,A,769962,LOCKS & LOCKSMITHS,56162204,LOCKSMITHS,,,,,,,,,,,48505,2,284,9,,,,,406177435,,,,,,,,,9,010700,2,039.968430,-075.204670,P,37980,2,428,42101,2014
MARIOS LOCKSMITH,4443 SPRUCE ST,PHILADELPHIA,PA,19104,4703,101,267,2,A,B,769962,LOCKS & LOCKSMITHS,56162204,LOCKSMITHS,769962,LOCKS & LOCKSMITHS,,,,,,,,,48408,4,568,9,,,,,406177454,,,,,,,,,9,008700,5,039.953120,-075.211980,P,37980,2,428,42101,2014
EYE ENCOUNTERS,4002 CHESTNUT ST,PHILADELPHIA,PA,19104,3020,101,215,2,B,B,804201,OPTOMETRISTS OD,62132003,OFFICES OF OPTOMETRISTS,,,,,,,,,,,57708,5,565,9,,,,,406177644,,,,,,,,,9,008800,6,039.955380,-075.202540,P,37980,2,428,42101,2014
INTOUCH CORP,4160 W GIRARD AVE,PHILADELPHIA,PA,19104,1011,101,215,2,A,B,172102,PAINTING CONTRACTORS-COMMERCIAL & IND,23832016,PAINTING & WALL COVERING CONTRACTORS,,,,,,,,,,,58705,4,944,9,,,,,406177656,,,,,,,,,9,011000,3,039.973360,-075.208530,P,37980,2,428,42101,2014
LANCASTER PHARMACY,4127 LANCASTER AVE,PHILADELPHIA,PA,19104,1726,101,215,2,C,D,591207,PHARMACEUTICAL CONSULTANTS,44611008,PHARMACIES & DRUG STORES,,,,,,,,,,,60607,10,2851,9,,,,,406177696,,,,,,,,,9,010700,5,039.965850,-075.206360,P,37980,2,428,42101,2014
AL KHARTOUM ECHO RESTAURANT,4403 CHESTNUT ST,PHILADELPHIA,PA,19104,2913,101,215,2,C,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,10,467,9,,,,,406177806,,,,,,,,,9,008700,6,039.956790,-075.209900,P,37980,2,428,42101,2014
FRANKLIN'S SKATE PARK FUND,2930 CHESTNUT ST,PHILADELPHIA,PA,19104,5021,101,215,2,C,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,10,467,9,,,,,406177868,,,,,,,,,9,008900,1,039.953000,-075.182130,P,37980,2,428,42101,2014
J & Y'S SOUL FRY,17 S 43RD ST,PHILADELPHIA,PA,19104,2901,101,215,2,C,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,10,467,9,,,,,406177888,,,,,,,,,9,008700,1,039.957210,-075.208080,P,37980,2,428,42101,2014
VMR CORP,701 N 44TH ST,PHILADELPHIA,PA,19104,1314,101,215,2,B,A,581220,RESTAURANT MANAGEMENT,72231009,FOOD SERVICE CONTRACTORS,,,,,,,,,,,72000,6,280,9,,,,,406177988,,,,,,,,,9,010600,5,039.964630,-075.210560,P,37980,2,428,42101,2014
SUBWAY,4301 MARKET ST,PHILADELPHIA,PA,19104,2969,101,215,2,B,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,581209,DELICATESSENS,581219,SANDWICHES,581206,FOODS-CARRY OUT,,,,,,8,374,2,R,,,,406178098,422996389,452186299,700,,H,,,,9,009200,4,039.958160,-075.208570,P,37980,2,428,42101,2014
PULSAR INFORMATICS,3401 MARKET ST # 318,PHILADELPHIA,PA,19104,3359,101,215,2,B,,873105,HUMAN FACTORS-RESEARCH & DEVELOPMENT,54171127,RESEARCH & DEVELOPMENT IN BIOTECHNOLOGY,653140,ASSESSMENT CONSULTANTS,999966,FEDERAL GOVERNMENT CONTRACTORS,581301,BARS,,,,,,5,,9,,,,,406178100,,,,,,,,,9,009000,4,039.955958,-075.191446,0,37980,2,428,42101,2014
GREAT TASTE,4101 LANCASTER AVE,PHILADELPHIA,PA,19104,1726,101,215,2,A,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,2,93,9,,,,,406557553,,,,,,,,,9,010700,5,039.965203,-075.205479,0,37980,2,428,42101,2014
,34TH ST & CIVIC CENTER B,PHILADELPHIA,PA,19104,,101,215,1,A,,999977,NONCLASSIFIED ESTABLISHMENTS,99999004,UNCLASSIFIED ESTABLISHMENTS,,,,,,,,,,,,3,,9,,,,,408567420,,,,,,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
VETERANS CANTEEN SVC,UNIVERSITY & WDLND BLVD,PHILADELPHIA,PA,19104,,101,215,2,B,C,359903,MACHINE SHOPS (MFRS),33271002,MACHINE SHOPS,,,,,,,,,,,,7,1284,9,,,,,408568068,,,,,,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
TRUSTEES-THE UNVERSITY-PA,STEINBURH DIETRIC HALL 1100,PHILADELPHIA,PA,19104,,101,215,2,C,,822101,SCHOOLS-UNIVERSITIES & COLLEGES ACADEMIC,61131009,"COLLEGES, UNIVERSITIES & PROFESSIONAL SCHOOLS",,,,,,,,,,,,15,,9,,,,,408574061,,,,,,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
CHILDRENS MEDICL FDN OF CENTRL,3501 CIVIC CENTER BLVD,PHILADELPHIA,PA,19104,,101,215,2,A,,869903,ORGANIZATIONS,81341018,CIVIL & SOCIAL ORGANIZATIONS,,,,,,,,,,,,1,,9,,,,,408574781,,,,,,,,,9,007600,1,039.952439,-075.193360,2,37980,2,428,42101,2014
TRUSTEES OF THE UNIV OF PA,4010 LOCUST ST # 323,PHILADELPHIA,PA,19104,4199,101,215,2,D,,822101,SCHOOLS-UNIVERSITIES & COLLEGES ACADEMIC,61131009,"COLLEGES, UNIVERSITIES & PROFESSIONAL SCHOOLS",807201,LABORATORIES-DENTAL,,,,,,,,,,21,,2,,,,,408578627,,681184495,10,,C,,,,9,008800,4,039.952947,-075.203353,0,37980,2,428,42101,2014
CHILDRENS SURGICAL ASSOC ORS,34TH & CIVC CENTER BLVD,PHILADELPHIA,PA,19104,,101,215,2,E,F,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,80,14036,9,,,,,408580194,,,,,,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
RADIOLOGY ASSOCIATION,34 CIVIC CENTER BLVD 3,PHILADELPHIA,PA,19104,,101,215,2,C,D,806202,HOSPITALS,62211002,GENERAL MEDICAL & SURGICAL HOSPITALS,,,,,,,,,,,,18,2563,9,,,,,408582233,,,,,,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
ALL INSURANCE INC,4260 PARKSIDE AVE,PHILADELPHIA,PA,19104,1021,101,215,2,A,A,641112,INSURANCE,52421001,INSURANCE AGENCIES & BROKERAGES,,,,,,,,,,,,1,186,9,,,,,408582548,,,,,,,423396119,,9,011000,2,039.976860,-075.211880,P,37980,2,428,42101,2014
,MONELL CENTER 3500 MKT STREET,PHILADELPHIA,PA,19104,,101,267,1,A,,869903,ORGANIZATIONS,81341018,CIVIL & SOCIAL ORGANIZATIONS,,,,,,,,,,,,3,,9,,,,,408583740,,,,,,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
PRESBYTERIAN HEALTHCARE SVC,39 MARKET ST,PHILADELPHIA,PA,19104,,101,215,2,C,,873104,LABORATORIES,54171126,RESEARCH & DEVELOPMENT IN BIOTECHNOLOGY,806202,HOSPITALS,,,,,,,,,,10,,9,,,,,408584188,,,,,,,408584188,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
,34TH ST & CIVIC CENTER B,PHILADELPHIA,PA,19104,,101,215,1,A,B,801101,PHYSICIANS & SURGEONS,62111107,OFFICES OF PHYSICIANS (EXC MENTAL HEALTH SPECS),,,,,,,,,,,,3,526,9,T,,,,408587768,,,,,,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
ICSI,4200 POWELTON AVE # 1,PHILADELPHIA,PA,19104,2104,101,215,2,B,C,152144,CONSTRUCTION COMPANIES,23611512,NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS),,,,,,,,,,,,5,2289,9,,,,,408590880,,,,,,,,,9,009200,4,039.958590,-075.206370,P,37980,2,428,42101,2014
NANCY NAILS,4016 MARKET ST,PHILADELPHIA,PA,19104,3096,101,215,2,A,A,723106,BEAUTY SALONS,81211202,BEAUTY SALONS,,,,,,,,,,,,4,192,9,,,,,408591506,,,,,,,,,9,008800,6,039.956950,-075.202720,P,37980,2,428,42101,2014
ST IGANTIUS SCHOOL,617 N 43RD ST,PHILADELPHIA,PA,19104,1415,101,215,2,C,,821103,SCHOOLS,61111007,ELEMENTARY & SECONDARY SCHOOLS,,,,,,,,,,,74408,12,,9,P,,,,408591777,,,,,,,,,9,010600,4,039.963480,-075.209072,0,37980,2,428,42101,2014
JONATHAN A EPSTEIN,954 BRB 2 421 CURIE BLVD,PHILADELPHIA,PA,19104,,101,215,2,A,,999977,NONCLASSIFIED ESTABLISHMENTS,99999004,UNCLASSIFIED ESTABLISHMENTS,,,,,,,,,,,,3,,9,,,,,408592982,,,,,,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
TRUSTEES OF THE UNIV OF PA,3940 LOCUST WALK,PHILADELPHIA,PA,19104,,101,215,2,D,,822101,SCHOOLS-UNIVERSITIES & COLLEGES ACADEMIC,61131009,"COLLEGES, UNIVERSITIES & PROFESSIONAL SCHOOLS",861102,ASSOCIATIONS,,,,,,,,,,21,,2,,,,,408593065,,681184495,10,,C,,408593065,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
DREXEL UNIVERSITY,3141 CHESTNUT ST,PHILADELPHIA,PA,19104,2875,101,215,2,D,,821103,SCHOOLS,61111007,ELEMENTARY & SECONDARY SCHOOLS,999966,FEDERAL GOVERNMENT CONTRACTORS,,,,,,,,,,30,,1,,,,,408594569,,408594569,30,,D,,,,9,008900,1,039.954120,-075.186910,P,37980,2,428,42101,2014
DREXEL UNIVERSITY,CAT 170,PHILADELPHIA,PA,19104,,101,215,2,A,,861102,ASSOCIATIONS,81391002,BUSINESS ASSOCIATIONS,,,,,,,,,,,,4,,9,,,,,408598599,,,,,,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
TRUSTEES OF THE UNIV OF PA,420 GUARDIAN DR,PHILADELPHIA,PA,19104,4231,101,215,2,D,,822101,SCHOOLS-UNIVERSITIES & COLLEGES ACADEMIC,61131009,"COLLEGES, UNIVERSITIES & PROFESSIONAL SCHOOLS",804908,NURSES & NURSES' REGISTRIES,,,,,,,,,,21,,2,,,,,408601353,,681184495,10,,C,,,,9,007600,1,039.949449,-075.196115,0,37980,2,428,42101,2014
OWENS CONSTRUCTION,915 BELMONT AVE,PHILADELPHIA,PA,19104,1209,101,215,2,B,C,152144,CONSTRUCTION COMPANIES,23611512,NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS),,,,,,,,,,,,5,2289,9,,,,,408609484,,,,,,,,,9,010700,7,039.970090,-075.211290,P,37980,2,428,42101,2014
CAMPUS APARTMENTS,4043 WALNUT ST,PHILADELPHIA,PA,19104,3513,101,215,2,B,B,702106,STUDENT HOUSING,72131009,ROOMING & BOARDING HOUSES,651303,APARTMENTS,,,,,,,,,,9,683,2,,,,,408609781,,120729801,90,,E,,120729801,,9,008800,5,039.954650,-075.204700,P,37980,2,428,42101,2014
CAMPUS-BRIARCLIFF LLC,4043 WALNUT ST,PHILADELPHIA,PA,19104,3513,101,215,2,B,D,154213,BUILDING CONTRACTORS,23622005,COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION,,,,,,,,,,,,5,3131,2,,,,,408613627,,120729801,90,,E,,120729801,,9,008800,5,039.954650,-075.204700,P,37980,2,428,42101,2014
JONES LANG LA SALLE,220 S 40TH ST # 201C,PHILADELPHIA,PA,19104,3580,101,215,2,C,C,653118,REAL ESTATE,53121003,OFFICES OF REAL ESTATE AGENTS & BROKERS,,,,,,,,,,,,10,2087,2,,,,,408616726,,820154003,700,,H,,,,9,008800,4,039.952774,-075.202992,0,37980,2,428,42101,2014
UNIVERSITY OF PENNSYLVANIA,3800 SPRUCE ST,PHILADELPHIA,PA,19104,6009,101,215,2,D,,822101,SCHOOLS-UNIVERSITIES & COLLEGES ACADEMIC,61131009,"COLLEGES, UNIVERSITIES & PROFESSIONAL SCHOOLS",873104,LABORATORIES,,,,,,,,,,21,,2,,,,,408617086,120738786,681184495,10,,C,,,,9,008800,4,039.951182,-075.199224,0,37980,2,428,42101,2014
PERELMAN SCHOOL OF MEDICINE,295 JOHN MORGAN BUILDING,PHILADELPHIA,PA,19104,,101,215,2,C,,822101,SCHOOLS-UNIVERSITIES & COLLEGES ACADEMIC,61131009,"COLLEGES, UNIVERSITIES & PROFESSIONAL SCHOOLS",,,,,,,,,,,,15,,2,,,,,408619667,,681184495,10,,C,,408619667,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
RADIOLOGY ASSOCIATES,34TH & CIVIC CENTER BOULEVAR,PHILADELPHIA,PA,19104,,101,215,2,C,D,806202,HOSPITALS,62211002,GENERAL MEDICAL & SURGICAL HOSPITALS,,,,,,,,,,,,18,2563,9,,,,,408620782,,,,,,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
UPMC PRESBYTERIAN,51 N 39TH ST,PHILADELPHIA,PA,19104,2640,101,215,2,C,D,806202,HOSPITALS,62211002,GENERAL MEDICAL & SURGICAL HOSPITALS,,,,,,,,,,,,18,2563,2,,,,,408624994,401011516,831533138,60,,E,,120803754,N,9,009100,3,039.958480,-075.199240,P,37980,2,428,42101,2014
JOSEPH STOKES INST OF RESEARCH,3615 CIVIC CENTER BLVD # 2,PHILADELPHIA,PA,19104,4318,101,215,2,A,,869903,ORGANIZATIONS,81341018,CIVIL & SOCIAL ORGANIZATIONS,,,,,,,,,,,,3,,9,,,,,408627853,,,,,,,,,9,007600,1,039.946774,-075.196322,0,37980,2,428,42101,2014
CAMPUS-ABBEY WEST LLC,4043 WALNUT ST,PHILADELPHIA,PA,19104,3513,101,215,2,B,B,702106,STUDENT HOUSING,72131009,ROOMING & BOARDING HOUSES,651303,APARTMENTS,,,,,,,,,,9,683,2,,,,,408630510,,120729801,90,,E,,120729801,,9,008800,5,039.954650,-075.204700,P,37980,2,428,42101,2014
SUPER DELI,415 N 34TH ST,PHILADELPHIA,PA,19104,2448,101,215,2,A,B,541105,GROCERS-RETAIL,44511003,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,,,,,,,,,,,,3,763,9,,,,,408632078,,,,,,,408632078,,9,009000,1,039.962216,-075.191150,0,37980,2,428,42101,2014
MATH FOUNDATIONS LLC,4220 PINE ST # 400,PHILADELPHIA,PA,19104,4011,101,215,2,B,B,874825,EDUCATIONAL CONSULTANTS,61171012,EDUCATIONAL SUPPORT SERVICES,,,,,,,,,,,,5,832,9,,,,,408633516,,,,,,,,,9,008700,3,039.951060,-075.208230,P,37980,2,428,42101,2014
BYRD T CUMMINGS,4110 BARING ST # 2,PHILADELPHIA,PA,19104,2265,101,215,2,A,A,738999,BUSINESS SERVICES NEC,56199001,ALL OTHER SUPPORT SERVICES,,,,,,,,,,,,2,274,9,,,,,408636904,,,,,,,,,9,009200,3,039.959850,-075.206020,P,37980,2,428,42101,2014
NOVA ARS WORKSHOP,3909 WARREN ST,PHILADELPHIA,PA,19104,4631,101,215,2,B,D,596104,E-COMMERCE,45411101,ELECTRONIC SHOPPING,,,,,,,,,,,,6,4300,9,,,,,408638412,,,,,,,,,9,009100,5,039.961370,-075.200330,P,37980,2,428,42101,2014
LEVY JUNIOR TENNIS SUMMER CAMP,3130 WALNUT ST,PHILADELPHIA,PA,19104,6300,101,215,2,C,C,703203,CAMPS,72121403,RECREATIONAL & VACATION CAMPS (EXCEPT CAMPGROUNDS),,,,,,,,,,,,15,1708,9,,,,,408640671,,,,,,,,,9,008900,1,039.952041,-075.186552,0,37980,2,428,42101,2014
TRUSTEES OF THE UNIV OF PA,3700 WALNUT ST # 409,PHILADELPHIA,PA,19104,6216,101,215,2,C,,822101,SCHOOLS-UNIVERSITIES & COLLEGES ACADEMIC,61131009,"COLLEGES, UNIVERSITIES & PROFESSIONAL SCHOOLS",,,,,,,,,,,,15,,2,,,,,408646791,,681184495,10,,C,,,,9,008800,2,039.953160,-075.196950,P,37980,2,428,42101,2014
DR PHOTONS VISUAL EXTRAVAGANZA,4222 OSAGE AVE,PHILADELPHIA,PA,19104,4007,101,215,2,A,A,899999,SERVICES NEC,54199009,"ALL OTHER PROFESSIONAL, SCIENTIFIC/TECHNICAL SVCS",,,,,,,,,,,,1,300,9,,,,,408648667,,,,,,,,,9,008700,3,039.950270,-075.208190,P,37980,2,428,42101,2014
YINLING I WONG,3701 LOCUST WALK,PHILADELPHIA,PA,19104,6214,101,215,2,A,B,899999,SERVICES NEC,54199009,"ALL OTHER PROFESSIONAL, SCIENTIFIC/TECHNICAL SVCS",,,,,,,,,,,,3,900,9,,,,,408649293,,,,,,,,,9,008800,2,039.952470,-075.197090,P,37980,2,428,42101,2014
MEDINA TAX & TRAVEL,4302 MARKET ST,PHILADELPHIA,PA,19104,2908,101,215,2,A,B,472402,TRAVEL AGENCIES & BUREAUS,56151007,TRAVEL AGENCIES,,,,,,,,,,,,3,525,9,,,,,408655854,,,,,,,,,9,008700,6,039.957690,-075.208370,P,37980,2,428,42101,2014
TRUSTEES OF THE UNIV OF PA,3600 MARCUS ST 570,PHILADELPHIA,PA,19104,,101,215,2,D,,822101,SCHOOLS-UNIVERSITIES & COLLEGES ACADEMIC,61131009,"COLLEGES, UNIVERSITIES & PROFESSIONAL SCHOOLS",841202,ARTS ORGANIZATIONS & INFORMATION,,,,,,,,,,21,,2,,,,,408662285,,681184495,10,,C,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
JAY FENSTER,415 S 42ND ST,PHILADELPHIA,PA,19104,4094,101,215,2,B,A,701101,HOTELS & MOTELS,72111002,HOTELS (EXCEPT CASINO HOTELS) & MOTELS,,,,,,,,,,,,5,441,9,,,,,408663777,,,,,,,,,9,008700,3,039.950170,-075.206750,P,37980,2,428,42101,2014
TRUSTEES OF THE UNIV OF PA,N ARCADE FRANKLIN FIELD EDIT,PHILADELPHIA,PA,19104,,101,215,2,D,,822101,SCHOOLS-UNIVERSITIES & COLLEGES ACADEMIC,61131009,"COLLEGES, UNIVERSITIES & PROFESSIONAL SCHOOLS",874130,MANAGEMENT SERVICES,,,,,,,,,,21,,2,,,,,408664884,,681184495,10,,C,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
LINDSAY RH CO INC,3821 PEARL ST,PHILADELPHIA,PA,19104,5115,101,215,2,B,A,422506,WAREHOUSES-PRIVATE & PUBLIC,49311009,GENERAL WAREHOUSING & STORAGE,,,,,,,,,,,,5,178,9,,,,,408670822,,,,,,,,,9,009100,2,039.960058,-075.197323,0,37980,2,428,42101,2014
ERIC CHEN CHINA INN,238 BUCKINGHAM PL,PHILADELPHIA,PA,19104,2921,101,215,2,B,A,701101,HOTELS & MOTELS,72111002,HOTELS (EXCEPT CASINO HOTELS) & MOTELS,,,,,,,,,,,,5,441,9,,,,,408671648,,,,,,,,,9,008700,5,039.954110,-075.211290,P,37980,2,428,42101,2014
2 P DESIGNS LLC,316 N 37TH ST,PHILADELPHIA,PA,19104,2330,101,215,2,A,B,899999,SERVICES NEC,54199009,"ALL OTHER PROFESSIONAL, SCIENTIFIC/TECHNICAL SVCS",,,,,,,,,,,,3,900,9,,,,,408672979,,,,,,,,,9,009100,2,039.960430,-075.195620,P,37980,2,428,42101,2014
OFFICE FRATERNITY & SORITY,3933 WALNUT ST,PHILADELPHIA,PA,19104,3608,101,215,2,B,C,738999,BUSINESS SERVICES NEC,56199001,ALL OTHER SUPPORT SERVICES,,,,,,,,,,,,9,1234,9,,,,,408682757,,,,,,,,,9,008800,5,039.954380,-075.202190,P,37980,2,428,42101,2014
FRIENDS REHABILITATION PROGRAM,4040 OGDEN ST,PHILADELPHIA,PA,19104,1550,101,267,2,B,C,651303,APARTMENTS,53111002,LESSORS OF RESIDENTIAL BUILDINGS & DWELLINGS,833102,REHABILITATION SERVICES,832218,SOCIAL SERVICE & WELFARE ORGANIZATIONS,,,,,,,,5,1210,9,,,,,408686065,,,,,,,,,9,010700,2,039.969190,-075.204890,P,37980,2,428,42101,2014
SHOWOFF PRODUCTIONS,3416 BARING ST # 2R,PHILADELPHIA,PA,19104,2078,101,215,2,B,C,731908,DISTRIBUTION SERVICES,54187005,ADVERTISING MATERIAL DISTRIBUTION SERVICES,,,,,,,,,,,,6,1450,9,,,,,408686729,,,,,,,,,9,009000,5,039.961060,-075.192260,P,37980,2,428,42101,2014
EXPERIMENTAL THERAPEUTICS,9 W GATES EDIT,PHILADELPHIA,PA,19104,,101,215,2,A,A,738999,BUSINESS SERVICES NEC,56199001,ALL OTHER SUPPORT SERVICES,,,,,,,,,,,,2,274,9,,,,,408687363,,,,,,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
M G & CO,646 N UNION ST,PHILADELPHIA,PA,19104,1859,101,215,2,B,B,738999,BUSINESS SERVICES NEC,56199001,ALL OTHER SUPPORT SERVICES,,,,,,,,,,,,5,685,9,,,,,408689117,,,,,,,,,9,010800,5,039.964330,-075.201590,P,37980,2,428,42101,2014
TRUSTEES OF THE UNIV OF PA,3850 BLTMORE AVE 100E,PHILADELPHIA,PA,19104,,101,215,2,D,,822101,SCHOOLS-UNIVERSITIES & COLLEGES ACADEMIC,61131009,"COLLEGES, UNIVERSITIES & PROFESSIONAL SCHOOLS",804918,PHYSICAL THERAPISTS,,,,,,,,,,21,,2,,,,,408692728,,681184495,10,,C,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
NITAALLSEASONDOORWINDOWDECO,3912 POPLAR ST,PHILADELPHIA,PA,19104,1116,101,215,2,A,A,738999,BUSINESS SERVICES NEC,56199001,ALL OTHER SUPPORT SERVICES,,,,,,,,,,,,1,137,9,,,,,408696996,,,,,,,,,9,011000,4,039.972760,-075.201910,P,37980,2,428,42101,2014
4300 SPRUCE,4300 SPRUCE ST,PHILADELPHIA,PA,19104,4759,101,215,2,B,B,702106,STUDENT HOUSING,72131009,ROOMING & BOARDING HOUSES,651303,APARTMENTS,,,,,,,,,,9,683,2,,,,,408698832,,120729801,90,,E,,,,9,008700,5,039.952270,-075.209550,P,37980,2,428,42101,2014
INTERGENERATIONAL COMMUNITY,521 N NATRONA ST,PHILADELPHIA,PA,19104,2520,101,215,2,A,B,899999,SERVICES NEC,54199009,"ALL OTHER PROFESSIONAL, SCIENTIFIC/TECHNICAL SVCS",,,,,,,,,,,,3,900,9,,,,,408699055,,,,,,,,,9,010900,2,039.963850,-075.189000,P,37980,2,428,42101,2014
MAGICAL THEATER,3712 BARING ST,PHILADELPHIA,PA,19104,2306,101,215,2,B,B,792207,THEATRES-LIVE,71111007,THEATER COMPANIES & DINNER THEATERS,,,,,,,,,,,,6,643,9,,,,,408700876,,,,,,,,,9,009100,2,039.960650,-075.196090,P,37980,2,428,42101,2014
TRUSTEES OF THE UNIV OF PA,2620 LOCUST WALK EDIT,PHILADELPHIA,PA,19104,,101,215,2,D,,822101,SCHOOLS-UNIVERSITIES & COLLEGES ACADEMIC,61131009,"COLLEGES, UNIVERSITIES & PROFESSIONAL SCHOOLS",873104,LABORATORIES,,,,,,,,,,21,,2,,,,,408702651,,681184495,10,,C,,,,9,009100,3,039.957028,-075.199567,X,37980,2,428,42101,2014
WILKES PRODUCTIONS,3847 FAIRMOUNT AVE,PHILADELPHIA,PA,19104,1819,101,215,2,A,A,792217,ENTERTAINMENT PRODUCERS,71141003,AGENTS & MANAGERS FOR PUBLIC FIGURES,731908,DISTRIBUTION SERVICES,,,,,,,,,,1,107,9,,,,,408704490,,,,,,,,,9,010800,6,039.965750,-075.199290,P,37980,2,428,42101,2014
